ID,Structure
16s0,...(((((.......))))).((((((..((.(((((((((...(((.(((..(......)......(((......(((....(((.....)))....)))....(((....(((..(((....))).)))......)))..((...))))).(.((....)).)...)))))).).....(.(((...(((((....))))).)))).)).)))))).....((((((((................)))..............))))).))..))))))....(((((.....((((...(((............(((((((.....(((.((..(((......)))...)).))).....).....(.((....))))))))).....)))....))))....((((((...((...((((.........))))...)))))))).......................))..........))).((.......((((....)))).....))........(((((.(((((((...((..((((((.((((((((((...((((........))))........(((((((.......((.((((..((((((.(.(..((..(((((.....))).......))..)).....(((....)))...).).).)))...))))))))....)))))))..)).)))))))).)...((((.....)))).....(....(((((((.......)))))))....).....))))).....(((((((.........)))))))......))...)))))))))).))....(..((.(...((((((..(((.....................................)))...))))))....).))...)....((((((((((....)))))))))).......
16s1,...(((((.......))))).((((((.(((.(((((((((...(((.(((..(......)......(((.......(((....(((.....)))....)))....(((....(((..(((....))).)))......)))..((...)))))...((....)).....)))))).).....(.(((...(((((....))))).)))).)).)))))).....((((((((................)))..............))))).))).))))))....(((((......(((...(((...............(((((((.....(((.((..(((......)))...)).))).....).....(.((....))))))))).....)))....))).....((((((...((...((((.........))))...)))))))).......................))..........))).((.......((((....)))).....))........(((((.(((((((...((..((((((.((((((((((...((((........))))........(((((((.......((.((((..((((((.(.(..((..(((((.....))).......))..)).....(((....)))...).).).)))...))))))))....)))))))..)).)))))))).)...((((.....)))).....(..(.(((((((.......))))))).)..).....))))).....(((((((.........)))))))......))...)))))))))).))....(..((.(...((((((...((.......................................))..))))))....).))...)....((((((((((....)))))))))).......
16s2,......(((((.......))))).((((..((((...((((((.......(((.(((..((((....................................................))))......(((.....((.((((............)))).))(((....((....(((((((..............)))))))..))....)))..((((..((....))....))))))).(((((...........))))).((((....))))...)))))).......(.(((...(((((.....))))).))))....))))))................(((((......(((((....................))))))))))..)))).))))..........(((.......((((..((((.............(((((..(.(((((.(..((((((((...(((......)))......))))))))..)........((....)).))))).).))))).......))))..))))....(((((((...(....(((.........))).....))))))))..........((((((.........)))))).))).(((.....((((....))))....)))........(((((.(((((((....((((((..((((((((((......((........))..........(((((((...........((.((((..(.(((....((.(((((......)))............)).))......((.((.......)).))....)))....)))))))....)))))))...)).))))))))...(((((((......................))))))).....(....(((((..............(((.((.(((.....))).)).)))...................)))))....).....))))))....(((((((..........)))))))..........)))))))))).))....(..((.(..(((((((..(((((((((.((.......(((.((((.............))))))).......)).)))))))))..)))))))...).))...)...((((((((((....))))))))))................
16s3,...(((((.......))))).((((((((((.(((((..((.....(((.(((..((.(((...........)))))......(((.......(((..(...((...((((..............((.....((((((....))))))......))..................................................))))..)).)..))).(((....(((..((((((((.......)))))))))))......)))...((((((((....))))...))))))).(((((((........))))))).(.((....)).)...)))))).).....(.(((...(((((...))))).)))).)...)))))..((....))..((((((.........)))))).....(((((((((.................))).............)))))).))))))))))..........(((((.....((((...(((............(((((.........................................))))).........((((((....)).)))).............(((((((.(...((((..((...((((.((...(.(......).)......)).))))...)).......((....))...))))..).)))).)))...)))...))))....((((((....(...((.(.........).))...).))))))..................(((.((((((.........)))))).))).......)).................))).(((......((((....))))....)))........(((((.(((((((..((..((((((.(((.((((((....(.((........)).).......(((((.(....(((((.......(((.(((.......))).))).....)))))...((.((((..((((((((....((.((((((....)))...(((......)))...))).)).....((((.((((((...))))))..(..(((((....)))))..)....)))).....))).)))...).))))))).....).)))))...)).)))).))).)...((((((.....((((((..(....)..))).)))....))))))......(....((.((((......)))).))....).....))))).....(((((.((.......)).)))))......))...)))))))))).))....(..((.(.(((((.((..(.((((((((.(((..(((.(((...........))).)))..))).)))))))))..)).)))))..).))...)....((.((((((((....))))))))))........
16s4,.........(((((.......))))).((((.((((((.(((((((((....(((.(((..(((..((..(((((....)))))...)))))......(((......(((((((..((...(((((((.((((.....((.(((....))).))......)))).....(((....)))....(((.....))).)))))))..)).)))))))(((..(.(((..((((.((((.......))))))))))).....))))..((((((((....))))...))))))).(((((............))))).((((....))))...)))))).).....(.(((...(..((....))).)))).)).))))))..((((......((((....)))).....)))).(..((((((...(.........)....))))))..)...((((((((................)))..............))))).))))))))))..........(((((.....((((.(.(((.((((((..(((((((((((.....((((((.....))))))...)))))))))...)).))))))...(((.((((...((((((((...((((((((...(((......)))......))))))))...).......((....)).)))))))..))))..)))...))))..))))....((((((...((...((((.........))))...))))))))..................((((((((.....)))))))).......))..............))).(((......((((....))))....)))........(((((((((((.((..((((((.((((((((((....((((........))))........(((((((......(((((((..(((((((....)))))))...((.....)).))))).))..((.((((..((((((.((...(((((((((....)))....((......))....)))))).....((((.(((((((...((....))....)))))))..((.(((((....))))).)).....))))....)).).)))...))))))))....)))))))...)).)))))))).)...(((((((.....(((..((..(((....)))...))....))).....)))))))......(....(((((((........)))))))....).....))))).....(((((((..........)))))))......))...).)))))))).))....(..((.(.((((.(((..((((((((((((....(.((((.((((..((....)).)))))))).)...))))))))))))..))).))))..).))...)....((((((((((....)))))))))).............
16s5,...(((((.......))))).((((((((((.((((((((((.....(((.(((..(((..((((((....)))))))))......(((.......(((((((..((...(((((((.((((.....((((((....))))))......))))....(((((((..((......)).)))))))......((....)).)))))))..))))))))).(((....(((..((((((((.......)))))))))))......)))..((((((((....))))...))))))).((((((..........)))))).((((....))))...)))))).).....(.(((...(((((....))))).)))).)))))))))..((((((((.....)))))))).(..(((((((.......)))))))..)...(((((((((................))).............)))))).))))))))))..........(((((.....((((.(.(((.((((((..(((((((((((....(((((((.....)))))))...)))))))))..)).))))))...((((((.....(((((((((..((((((((...(((......)))......))))))))..)).......((....)).)))))))....))).)))...))))..))))....((((((....(...((((.........))))...).))))))..................((((((((((((((.....)))))))))))))).......))..............))).(((......((((....))))....)))........(((((.(((((((..((..((((((.((((((((((....((((........))))........(((((((...((((((((.....(((.(((.......))).)))....))))))))...((.((((..(((((((((...((((((.((....))...((((......))))..)))))).....(((..(((((((...((..(((((((....)))).)))))....)))))))..((.(((((.....))))).))......)))....)))).)))...))))))))....)))))))...)).)))))))).)...(((((((.....(((..((...(((....)))...))....))).....)))))))......(....(((((((........)))))))....).....))))).....((((((((.......))))))))......))...)))))))))).))....(..((...((((.(((..(((((((((((((..(((((((....)))))))..)))))))))))))..))).))))....))...)....((((((((((....))))))))))............
16s6,........(((((.......))))).((((.((((((.(((((((((....(((.(((..(((..((.(((((.....))))).)))))......(((......((((.((..((...(((((((.((((.....((((((....))))))......))))....(((....)))....(((....))).)))))))..)).)).))))(((....(((..((((((((.......)))))))))))......)))..((((((((....))))...))))))).(((((............))))).((((....))))...)))))).).....(.(((...(((((....))))).)))).)).))))))..((((......((((....)))).....)))).(..((((((...(.........)....))))))..)...((((((((................)))..............))))).))))))))))..........(((((.....((((.(.(((.((((....(((((((((((.....((((((.....))))))...)))))))))..))...))))...(((.((((...((((((((...((((((((...(((......)))......))))))))...).......((....)).)))))))..))))..)))...))))..))))....((((((...((...((((.........))))...))))))))..................(((((((((((........))))))))))).......))..............))).(((......((((....))))....)))........(((((.(((((((.((..((((((.((((((((((....((((........))))........(((((((......(((((((..(((((((....))))))).(.((....)).)))))).))..((.((((..((((((.(....(((((((((....)))..((((......))))..)))))).....((((.(((((((...(((.........)))....)))))))..((.(((((.....))))).)).....)))).....).).)))...))))))))....)))))))...)).)))))))).)...(((((((.....(((..((...(((....)))...))....))).....)))))))......(....(((((((........)))))))....).....)))))......((((((..........)))))).......))...)))))))))).))....(..((...((((.(((..((.((((.((((....(.((((.((((...((....)).)))))))).)...)))).)))).))..))).))))....))...)....((((((((((....)))))))))).............
16s7,...(((((.......))))).((((((((((.((((((((((.....(((.(((..(((..((.(((((((((((....))))))))))).)))))......(((.......(((((((..((...(((((((.((((.....((((((....))))))......))))....((((((((.((......)))))))))).....((.....)).)))))))..))))))))).(((....(((..((((((((.......)))))))))))......)))..((((((((....))))...))))))).((((((..........)))))).((((....))))...)))))).).....(.(((...(((((....))))).)))).)))))))))..((((((((...))))))))....(((((((.......))))))).......(((((((((................))).............)))))).))))))))))..........(((((.....((((.(.(((.(((((((.((((((((((.....(((((((.....)))))))....))))))))..)))))))))...((((((.....(((((((((..(((((((....(((......))).......)))))))..)).......((....)).)))))))....))).)))...))))..))))....((((((...((...((((.........))))...))))))))..................((((((((((((((.....)))))))))))))).......))..............))).(((......((((....))))....)))........(((((.(((((((..((..((((((.((((((((((....((((........))))........(((((((...((((.(......(((.(((.......))).)))...)..))))...((.((((..(((((((((...((((((.((....))...((((......))))..)))))).....((((.(((((((...((..((((((((....))))).)))))....)))))))..((.(((((.....))))).)).....))))....)))).)))...))))))))....)))))))...)).)))))))).)...(((((((.....(((..((...(((....)))...))....))).....)))))))......(....(((((((........)))))))....).....))))).....((((((((.......))))))))......))...)))))))))).))..(.(..((...((((.(((..(((((((..((((..((((((((((...))))))))))..))))..)))))))..))).))))....))...)..).((((((((((....))))))))))...........
16s8,...(((((.......))))).((((((((((.((((((((((.....(((.(((..(((..(((((((((....))))))))))))......(((.......(((((((..((...(((((((.((((.....((((((....))))))......))))....(((((((..((.......)).)))))))......(((((((((.......))))))))).)))))))..))))))))).(((....(((..((((((((.......)))))))))))......)))..(((.((((....))))....)))))).(((((............))))).((((....))))...)))))).).....(.(((...(((((....))))).)))).)))))))))..((((((.....))))))....(((((((.......)))))))......(((((((((................))).............)))))).))))))))))..........(((((.....((((.(.(((.(((((((.((((((((((.....(((((((.....)))))))...))))))))..)))))))))...((((((.....(((((((((..((((((((...(((......)))......))))))))..)).......((....)).)))))))....))).)))...))))..))))....((((((...((...((((.........))))...))))))))..................((((((((((((((.....)))))))))))))).......))..............))).(((......((((....))))....)))........(((((.((.((((..((..((((((.((((((((((....((((........))))........(((((((...((((.(......(((.(((.......))).)))...)..))))...((.((((..(((((((((...(((((((((....)))..((((......))))..)))))).....((((.(((((((...((..(((((((...)))))))))....)))))))..((.(((.(......).))).)).....))))....)))).)))...))))))))....)))))))...)).)))))))).)...(((((((.....(((..((...(((....)))...))....))).....)))))))......(....(((((((........)))))))....).....))))).....((((((((.......))))))))......))...)))).))))).))..(.(..((...((((.(((..(((((((((((((..((((((((((.......))))))))))..)))))))))))))..))).))))....))...)..).((((((((((....))))))))))...........
16s9,........(((((.......))))).((((.((((((.((((((((.....(((.(((..(((..((.(..((((((....))))))..).)))))......(((......(((((((..((...(((((((.((((.....((((((....))))))......)))).....(((....)))....((.......)).)))))))..)).)))))))(((....(((..((((((((.......)))))))))))......)))..((((((((....))))...))))))).(((((............))))).((((....))))...)))))).......(.(((...(((((....))))).)))).)).))))))..((((......((((....)))).....))))...(.((.((...(.....((((((((....))))))))......)....))))....)..((((((((................)))..............))))).))))))))))..........(((((.....((((.(.(((.(((((((.(((((((((((.....((((((.....))))))...)))))))))..)))))))))...((((((((...((((((((...((((((((...(((......)))......))))))))...).......((....)).)))))))..)))).))))...))))..))))....((((((...((...((((.........))))...))))))))..................((((((((((((....)))))))))))).......))..............))).(((......((((....))))....)))........(((((.(((((((.((..((((((.((((((((((....((((........)))).........(((((((......(((..(((..(((((((....))))))).(.(((....))).))))..)))..((.((((..((((((.((...(((((((((....)))...(((......)))...)))))).....((((.(((((((...((..(((......)))))....)))))))..((.(((((.....))))).)).....))))....)).).)))...))))))))....)))))))...)).)))))))).)...((((((......(((..((...(((....)))...))....)))......))))))......(....(((((((........)))))))....).....))))).....(((((((.........)))))))......))...)))))))))).))..(.(..(....((.(.(((..((((((..((((.....(((((...((..((....)).))..)))))....))))..))))))..))).).)).....)...)..).((((((((((....))))))))))...............
