Puzzle #,Puzzle Name,Eterna ID,Secondary Structure
1,Simple Hairpin,20111,(((((......)))))
2,Arabidopsis Thaliana 6 RNA - Difficulty Level 0,215430,(((((((....(((...........)))((((((((..(((((((((((((((((((...(((((......))))).)))))).)))))))))))))..))))))))..)))))))
3,Prion Pseudoknot - Difficulty Level 0,15819,((((((.((((....))))))).)))..........
4,Human Integrated Adenovirus - Difficulty Level 0,15886,((((((((((((((.((((((...........((((((((((((.....((((((((....(((((((((((((........))))))))))....))))))))....))))))....)))))...((((((.......))))))))))............)))))).))))....))))))...))))...
5,The Gammaretrovirus Signal - Difficulty Level 0,15847,..(.(..((((((....))))))..).)......((((..(((.(((((((((....)))))....)))))))))))..((((((((....))))))))..
6,Saccharomyces Cerevisiae - Difficulty Level 0,17811,(((((((((((........)))).((...............))....(((((.......))))))))))))....(((((((..((((........))))(((.............)))....(((((.......))))))))))))....(((((((..((((........))))((((((.......))))))....(((((.......))))))))))))....(((((((..((((........))))((((((.......))))))....(((((.......))))))))))))....(((((((..((((........))))((((((.......))))))....(((((.......))))))))))))....
7,Fractal 2,13687,.....((((((((...((((((((((..((((..........))))..((((..........))))..((((..........))))..))))))))))...((((((((((..((((..........))))..((((..........))))..((((..........))))..))))))))))...((((((((((..((((..........))))..((((..........))))..((((..........))))..))))))))))...)))))))).....
8,G-C Placement,1074756,((((...)))).
9,The Sun,13840,(((.(((((((...))))..))))))...(((.(((((((...))))..))))))...(((.(((((((...))))..))))))...(((.(((((((...))))..))))))...(((.(((((((...))))..))))))...(((.(((((((...))))..))))))...(((.(((((((...))))..))))))...(((.(((((((...))))..))))))...(((.(((((((...))))..))))))
10,Frog Foot,426871,..........((((....))))((((....))))((((...))))
11,InfoRNA test 16,816170,((((((.((((((((....))))).)).).))))))
12,Mat - Martian 2,399912,((((....))))...(((((((..(((((((.......))))))))))))))...((((((((......(((((((.(((((((.......))))))))))))))...((((((((((((((.......))))))).)))))))......))))))))...((((((((((((((.......)))))))..)))))))...((((....))))
13,square,756881,((((((((((((((((((((((((((...))))))....)))))))....))))))....)))))))
14,Six legd turtle 2,446042,.....((...((....))...((....))...((....))...((....))...((....))...((....))...))....................
15,Small and Easy 6,727172,(((((.....))..((.........)))))
16,Fractile,443196,............((....))...((...((....))..((...((....))...))..((....))...))..((....))........................
17,Six legd Turtle,445593,.....((....((....))....((....))....((....))....((....))....((....))....((....))....))....................
18,snoRNA SNORD64,1427482,((((((.....(((....(((...(((((.............)))))....)))..)))..))))))
19,Chalk Outline,461984,.....((((.(((((....)).))).(((.(((....)))))).((((((....)).)))).(((((....))).)))))).......................
20,InfoRNA bulge test 9,775904,(((((((.(.(.(.(((((((....)))))))))))))))))
21,Tilted Russian Cross,601331,.....((((((((....))))((((.((((....))))(((((....))))).((((....))))))))((((....))))))))....................
22,This is ACTUALLY Small And Easy 6,3084759,................................................................................................................................................................................................................................................................................................................................................................................................................
23,Shortie 4,997382,((....)).((....))
24,Shape Test,472029,.....(.((((..(((((........)))))..(((.(((.(((((.....))))).((((....)))).))))))..)))).)....................
25,The Minitsry,427350,(((.....(((.....(((.....(((.....(((........))).))).))).))).)))
26,stickshift,852950,..((((((((.....)).))))))..
27,U,426038,.....(((((.(.(.((.(.(((((((((....))))))))))))))))))).....
