ID,Structure
16s_ref0,...(((((.......))))).((((((..((.(((((((((...(((.(((..(......)......(((......(((....(((.....)))....)))....(((....(((..(((....))).)))......)))..((...))))).(.((....)).)...)))))).).....(.(((...(((((....))))).)))).)).)))))).....((((((((................)))..............))))).))..))))))....(((((.....((((...(((............(((((((.....(((.((..(((......)))...)).))).....).....(.((....))))))))).....)))....))))....((((((...((...((((.........))))...)))))))).......................))..........))).((.......((((....)))).....))........(((((.(((((((...((..((((((.((((((((((...((((........))))........(((((((.......((.((((..((((((.(.(..((..(((((.....))).......))..)).....(((....)))...).).).)))...))))))))....)))))))..)).)))))))).)...((((.....)))).....(....(((((((.......)))))))....).....))))).....(((((((.........)))))))......))...)))))))))).))....(..((.(...((((((..(((.....................................)))...))))))....).))...)....((((((((((....)))))))))).......
16s_ref1,...(((((.......))))).((((((.(((.(((((((((...(((.(((..(......)......(((.......(((....(((.....)))....)))....(((....(((..(((....))).)))......)))..((...)))))...((....)).....)))))).).....(.(((...(((((....))))).)))).)).)))))).....((((((((................)))..............))))).))).))))))....(((((......(((...(((...............(((((((.....(((.((..(((......)))...)).))).....).....(.((....))))))))).....)))....))).....((((((...((...((((.........))))...)))))))).......................))..........))).((.......((((....)))).....))........(((((.(((((((...((..((((((.((((((((((...((((........))))........(((((((.......((.((((..((((((.(.(..((..(((((.....))).......))..)).....(((....)))...).).).)))...))))))))....)))))))..)).)))))))).)...((((.....)))).....(..(.(((((((.......))))))).)..).....))))).....(((((((.........)))))))......))...)))))))))).))....(..((.(...((((((...((.......................................))..))))))....).))...)....((((((((((....)))))))))).......
16s_ref2,......(((((.......))))).((((..((((...((((((.......(((.(((..((((....................................................))))......(((.....((.((((............)))).))(((....((....(((((((..............)))))))..))....)))..((((..((....))....))))))).(((((...........))))).((((....))))...)))))).......(.(((...(((((.....))))).))))....))))))................(((((......(((((....................))))))))))..)))).))))..........(((.......((((..((((.............(((((..(.(((((.(..((((((((...(((......)))......))))))))..)........((....)).))))).).))))).......))))..))))....(((((((...(....(((.........))).....))))))))..........((((((.........)))))).))).(((.....((((....))))....)))........(((((.(((((((....((((((..((((((((((......((........))..........(((((((...........((.((((..(.(((....((.(((((......)))............)).))......((.((.......)).))....)))....)))))))....)))))))...)).))))))))...(((((((......................))))))).....(....(((((..............(((.((.(((.....))).)).)))...................)))))....).....))))))....(((((((..........)))))))..........)))))))))).))....(..((.(..(((((((..(((((((((.((.......(((.((((.............))))))).......)).)))))))))..)))))))...).))...)...((((((((((....))))))))))................
16s_ref3,...(((((.......))))).((((((((((.(((((..((.....(((.(((..((.(((...........)))))......(((.......(((..(...((...((((..............((.....((((((....))))))......))..................................................))))..)).)..))).(((....(((..((((((((.......)))))))))))......)))...((((((((....))))...))))))).(((((((........))))))).(.((....)).)...)))))).).....(.(((...(((((...))))).)))).)...)))))..((....))..((((((.........)))))).....(((((((((.................))).............)))))).))))))))))..........(((((.....((((...(((............(((((.........................................))))).........((((((....)).)))).............(((((((.(...((((..((...((((.((...(.(......).)......)).))))...)).......((....))...))))..).)))).)))...)))...))))....((((((....(...((.(.........).))...).))))))..................(((.((((((.........)))))).))).......)).................))).(((......((((....))))....)))........(((((.(((((((..((..((((((.(((.((((((....(.((........)).).......(((((.(....(((((.......(((.(((.......))).))).....)))))...((.((((..((((((((....((.((((((....)))...(((......)))...))).)).....((((.((((((...))))))..(..(((((....)))))..)....)))).....))).)))...).))))))).....).)))))...)).)))).))).)...((((((.....((((((..(....)..))).)))....))))))......(....((.((((......)))).))....).....))))).....(((((.((.......)).)))))......))...)))))))))).))....(..((.(.(((((.((..(.((((((((.(((..(((.(((...........))).)))..))).)))))))))..)).)))))..).))...)....((.((((((((....))))))))))........
16s_ref4,.........(((((.......))))).((((.((((((.(((((((((....(((.(((..(((..((..(((((....)))))...)))))......(((......(((((((..((...(((((((.((((.....((.(((....))).))......)))).....(((....)))....(((.....))).)))))))..)).)))))))(((..(.(((..((((.((((.......))))))))))).....))))..((((((((....))))...))))))).(((((............))))).((((....))))...)))))).).....(.(((...(..((....))).)))).)).))))))..((((......((((....)))).....)))).(..((((((...(.........)....))))))..)...((((((((................)))..............))))).))))))))))..........(((((.....((((.(.(((.((((((..(((((((((((.....((((((.....))))))...)))))))))...)).))))))...(((.((((...((((((((...((((((((...(((......)))......))))))))...).......((....)).)))))))..))))..)))...))))..))))....((((((...((...((((.........))))...))))))))..................((((((((.....)))))))).......))..............))).(((......((((....))))....)))........(((((((((((.((..((((((.((((((((((....((((........))))........(((((((......(((((((..(((((((....)))))))...((.....)).))))).))..((.((((..((((((.((...(((((((((....)))....((......))....)))))).....((((.(((((((...((....))....)))))))..((.(((((....))))).)).....))))....)).).)))...))))))))....)))))))...)).)))))))).)...(((((((.....(((..((..(((....)))...))....))).....)))))))......(....(((((((........)))))))....).....))))).....(((((((..........)))))))......))...).)))))))).))....(..((.(.((((.(((..((((((((((((....(.((((.((((..((....)).)))))))).)...))))))))))))..))).))))..).))...)....((((((((((....)))))))))).............
16s_ref5,...(((((.......))))).((((((((((.((((((((((.....(((.(((..(((..((((((....)))))))))......(((.......(((((((..((...(((((((.((((.....((((((....))))))......))))....(((((((..((......)).)))))))......((....)).)))))))..))))))))).(((....(((..((((((((.......)))))))))))......)))..((((((((....))))...))))))).((((((..........)))))).((((....))))...)))))).).....(.(((...(((((....))))).)))).)))))))))..((((((((.....)))))))).(..(((((((.......)))))))..)...(((((((((................))).............)))))).))))))))))..........(((((.....((((.(.(((.((((((..(((((((((((....(((((((.....)))))))...)))))))))..)).))))))...((((((.....(((((((((..((((((((...(((......)))......))))))))..)).......((....)).)))))))....))).)))...))))..))))....((((((....(...((((.........))))...).))))))..................((((((((((((((.....)))))))))))))).......))..............))).(((......((((....))))....)))........(((((.(((((((..((..((((((.((((((((((....((((........))))........(((((((...((((((((.....(((.(((.......))).)))....))))))))...((.((((..(((((((((...((((((.((....))...((((......))))..)))))).....(((..(((((((...((..(((((((....)))).)))))....)))))))..((.(((((.....))))).))......)))....)))).)))...))))))))....)))))))...)).)))))))).)...(((((((.....(((..((...(((....)))...))....))).....)))))))......(....(((((((........)))))))....).....))))).....((((((((.......))))))))......))...)))))))))).))....(..((...((((.(((..(((((((((((((..(((((((....)))))))..)))))))))))))..))).))))....))...)....((((((((((....))))))))))............
16s_ref6,........(((((.......))))).((((.((((((.(((((((((....(((.(((..(((..((.(((((.....))))).)))))......(((......((((.((..((...(((((((.((((.....((((((....))))))......))))....(((....)))....(((....))).)))))))..)).)).))))(((....(((..((((((((.......)))))))))))......)))..((((((((....))))...))))))).(((((............))))).((((....))))...)))))).).....(.(((...(((((....))))).)))).)).))))))..((((......((((....)))).....)))).(..((((((...(.........)....))))))..)...((((((((................)))..............))))).))))))))))..........(((((.....((((.(.(((.((((....(((((((((((.....((((((.....))))))...)))))))))..))...))))...(((.((((...((((((((...((((((((...(((......)))......))))))))...).......((....)).)))))))..))))..)))...))))..))))....((((((...((...((((.........))))...))))))))..................(((((((((((........))))))))))).......))..............))).(((......((((....))))....)))........(((((.(((((((.((..((((((.((((((((((....((((........))))........(((((((......(((((((..(((((((....))))))).(.((....)).)))))).))..((.((((..((((((.(....(((((((((....)))..((((......))))..)))))).....((((.(((((((...(((.........)))....)))))))..((.(((((.....))))).)).....)))).....).).)))...))))))))....)))))))...)).)))))))).)...(((((((.....(((..((...(((....)))...))....))).....)))))))......(....(((((((........)))))))....).....)))))......((((((..........)))))).......))...)))))))))).))....(..((...((((.(((..((.((((.((((....(.((((.((((...((....)).)))))))).)...)))).)))).))..))).))))....))...)....((((((((((....)))))))))).............
16s_ref7,...(((((.......))))).((((((((((.((((((((((.....(((.(((..(((..((.(((((((((((....))))))))))).)))))......(((.......(((((((..((...(((((((.((((.....((((((....))))))......))))....((((((((.((......)))))))))).....((.....)).)))))))..))))))))).(((....(((..((((((((.......)))))))))))......)))..((((((((....))))...))))))).((((((..........)))))).((((....))))...)))))).).....(.(((...(((((....))))).)))).)))))))))..((((((((...))))))))....(((((((.......))))))).......(((((((((................))).............)))))).))))))))))..........(((((.....((((.(.(((.(((((((.((((((((((.....(((((((.....)))))))....))))))))..)))))))))...((((((.....(((((((((..(((((((....(((......))).......)))))))..)).......((....)).)))))))....))).)))...))))..))))....((((((...((...((((.........))))...))))))))..................((((((((((((((.....)))))))))))))).......))..............))).(((......((((....))))....)))........(((((.(((((((..((..((((((.((((((((((....((((........))))........(((((((...((((.(......(((.(((.......))).)))...)..))))...((.((((..(((((((((...((((((.((....))...((((......))))..)))))).....((((.(((((((...((..((((((((....))))).)))))....)))))))..((.(((((.....))))).)).....))))....)))).)))...))))))))....)))))))...)).)))))))).)...(((((((.....(((..((...(((....)))...))....))).....)))))))......(....(((((((........)))))))....).....))))).....((((((((.......))))))))......))...)))))))))).))..(.(..((...((((.(((..(((((((..((((..((((((((((...))))))))))..))))..)))))))..))).))))....))...)..).((((((((((....))))))))))...........
16s_ref8,...(((((.......))))).((((((((((.((((((((((.....(((.(((..(((..(((((((((....))))))))))))......(((.......(((((((..((...(((((((.((((.....((((((....))))))......))))....(((((((..((.......)).)))))))......(((((((((.......))))))))).)))))))..))))))))).(((....(((..((((((((.......)))))))))))......)))..(((.((((....))))....)))))).(((((............))))).((((....))))...)))))).).....(.(((...(((((....))))).)))).)))))))))..((((((.....))))))....(((((((.......)))))))......(((((((((................))).............)))))).))))))))))..........(((((.....((((.(.(((.(((((((.((((((((((.....(((((((.....)))))))...))))))))..)))))))))...((((((.....(((((((((..((((((((...(((......)))......))))))))..)).......((....)).)))))))....))).)))...))))..))))....((((((...((...((((.........))))...))))))))..................((((((((((((((.....)))))))))))))).......))..............))).(((......((((....))))....)))........(((((.((.((((..((..((((((.((((((((((....((((........))))........(((((((...((((.(......(((.(((.......))).)))...)..))))...((.((((..(((((((((...(((((((((....)))..((((......))))..)))))).....((((.(((((((...((..(((((((...)))))))))....)))))))..((.(((.(......).))).)).....))))....)))).)))...))))))))....)))))))...)).)))))))).)...(((((((.....(((..((...(((....)))...))....))).....)))))))......(....(((((((........)))))))....).....))))).....((((((((.......))))))))......))...)))).))))).))..(.(..((...((((.(((..(((((((((((((..((((((((((.......))))))))))..)))))))))))))..))).))))....))...)..).((((((((((....))))))))))...........
16s_ref9,........(((((.......))))).((((.((((((.((((((((.....(((.(((..(((..((.(..((((((....))))))..).)))))......(((......(((((((..((...(((((((.((((.....((((((....))))))......)))).....(((....)))....((.......)).)))))))..)).)))))))(((....(((..((((((((.......)))))))))))......)))..((((((((....))))...))))))).(((((............))))).((((....))))...)))))).......(.(((...(((((....))))).)))).)).))))))..((((......((((....)))).....))))...(.((.((...(.....((((((((....))))))))......)....))))....)..((((((((................)))..............))))).))))))))))..........(((((.....((((.(.(((.(((((((.(((((((((((.....((((((.....))))))...)))))))))..)))))))))...((((((((...((((((((...((((((((...(((......)))......))))))))...).......((....)).)))))))..)))).))))...))))..))))....((((((...((...((((.........))))...))))))))..................((((((((((((....)))))))))))).......))..............))).(((......((((....))))....)))........(((((.(((((((.((..((((((.((((((((((....((((........)))).........(((((((......(((..(((..(((((((....))))))).(.(((....))).))))..)))..((.((((..((((((.((...(((((((((....)))...(((......)))...)))))).....((((.(((((((...((..(((......)))))....)))))))..((.(((((.....))))).)).....))))....)).).)))...))))))))....)))))))...)).)))))))).)...((((((......(((..((...(((....)))...))....)))......))))))......(....(((((((........)))))))....).....))))).....(((((((.........)))))))......))...)))))))))).))..(.(..(....((.(.(((..((((((..((((.....(((((...((..((....)).))..)))))....))))..))))))..))).).)).....)...)..).((((((((((....))))))))))...............
