ID,Structure
RNaseP_ref0,....................(((((((((.(...).)).)))))))................(((..(..(..(((((.....))))).......)..)..)))................
RNaseP_ref1,.......((((((.............................((((((....)))))).(((((((....))))))).(((((((...........((((((....))))))......))))))).))))))...(((((((......)))))))....................((((....))))..
RNaseP_ref2,.......((((((...................................((((....))))..((..(((((((....))))))))).(((((((............(((((((...)))))))......))))))).))))))...(((((((........)))))))....................(....)..
RNaseP_ref3,........((((((......................................(((((....)))))((((((....)))))).......(((((((............((((......))))........)))))))..))))))...((((((((((..........))))))).)))..........................
RNaseP_ref4,.........((((((..........................(((((....)))))((((((....))))))......(((((((...............((((..(((((....)))))...))))...........)))))))..))))))....((((((.(.....)..))).)))....................(((((((....)))))))..
RNaseP_ref5,.(((((((((((((...((....)).............(((((.....(((((...((((((....))))))((((((((.............((((.(((((((...........(((....))).....)).))))).)))).........))))))))))))))))))...(((....)))............))))))...................))))))).
RNaseP_ref6,(..(((((..........((((.....)))).........)))))....................((((((............((((....))))..(((((((....))))))).(((((((...........((((........))))......))))))).))))))...((((((.....)))))).............)......((((((((....))))))))..
RNaseP_ref7,.......((((((....................................................(((((....)))))..((((((((....))))))))(((((((............(((((((((((...)))..))))))))........))))))).))))))...(((((((.........)))))))....................((((((...))))))..
RNaseP_ref8,.(((((((((((((...((....)).............(((((....(((((.(.(((((....))))))(((((((((............((((((((((((.............(((.....)))......)))))))))..)))........)))))))))))))))))))...((....))............))))))......................))))))).
RNaseP_ref9,.(((((((((((((...((.....)).............(((((....((((....((((((....))))))(((((((((............((((((((((((.............((......))......)))))))))..)))........))))))))))))).)))))...((....))............))))))......................))))))).
RNaseP_ref10,.(((((((((((((...((.....)).............(((((....(((((.(.(((((....))))))(((((((((............((((((((((((.............(((....)))......)))))))))..)))........)))))))))))))))))))...((.....))............))))))......................))))))).
RNaseP_ref11,.........((((((................................((((....))))(((((((....)))))))...(((((((................(((((.(((((....))))).).))))............)))))))..))))))....(((.((((((((.((....)).))))))))..)))....................((((((....))))))..
RNaseP_ref12,..........((((((..............................................((((....)))).....(((((....)))))...(((((((.............................(((((((((((.....)))))))))))........))))))).))))))...(((((((((((((....)))))))))))))....................((...))..
RNaseP_ref13,.........((((((..................................((((((....))))))(((((....))))).....(((((((.....................(((.(.(((((....))))).).))).................)))))))..))))))....(((.(((((((.......)))))))..)))....................((((((......))))))..
RNaseP_ref14,.(((((((((((((...(((((((...))))))).............(((((......(((((((.(.(((((....))))))(((((((((.............((((((((((((..............((....))......)))))))))..))).........)))))))))))))))))))))...((((....))))............))))))......................))))))).
RNaseP_ref15,(........(((((.....))))).....)..............((((.....((((.......((((.....)))).((((((....))))))(((((((...........((.................................................................)).......)))))))))))........................(((((((..(....).))))))).......))))
RNaseP_ref16,........((((((.........................................................................((((((....)))))).((((((....))))))..........((((((...........(((((((.((....)).))))))).......)))))).....))))))...((((((((((....))))))).)))....................(((((((...)))))))..
RNaseP_ref17,.................................((((((..................(.(((....))).)..(((((((....)))))))......(((((((................((.(((.((((.......)))).))).))...............)))))))..))))))....((((((((..(((((...)))))..))))).)))....................(..(((((((.....)))))).)..)..
RNaseP_ref18,........(.(((.(.(..(..(((((((.(((((..........(((.(.....)..)))..........)))))..................(((((......(((((.....))))).(((((....)))))..(((((((............(((((..............)))))........))))))).)))))................))))))).((((........))))..................)..).).))).)..........
RNaseP_ref19,........(.(((.(.(.((..(((((((.(((((..........((((.....).)))..........)))))..................(((((......(((((.....))))).(((((....)))))..(((((((............(((((((((((.......))))))).))))........))))))).)))))................)))))))(((((.....))))).................)).).).))).)............
RNaseP_ref20,.....(((.(((((((((..........((((((((((.....)))))(((((...))))).((...(((((...........(((((....)))..)).......((((((.......))))))(((((((((....)))))))).)...)))..)))))))))))))...((((......((((((.((((........))))...)))))).....))))......((((((((....))))))))...........................)))))))).
RNaseP_ref21,((((((((((((((((((.((.(((......))).)).............((((........((((((((((.....)))))(((((....)))).)((...(((((...........((((......)))).........)))..)))))))))))))...((((......((((((......((.....))...)))))).....))))......(((.((((....)))).)))..........)))))))...................).))))))))))
RNaseP_ref22,(........(.(((........))).).........)...............((((.....((((.......((.....))...(((((((.....)))))))((((.((..........................................................................................................)).))))))))....................(((((((..((.......)).))))))).......))))
RNaseP_ref23,.....(((.(((((((((........((((((((((.....)))))(((((....)))).)((...(((((...........(((((...((((....)))).)))..)).......((((((.......))))))(((((((((....))).))))).)..)))..)))))))))))))...((((......((((((..(((((.....))))))))))).....))))......((((.(((....))).))))...........................)))))))).
RNaseP_ref24,.(((((((((((((...(((((((....))))))).............((((........((((((((((....)))))(((((....)))))((...(((.............(((((((((.((............(((((........))))).......)).)))))))..)).........))).)))))))))))...((((.....(((((.....(.......)..))))).....))))............))))))..................)).))))).
RNaseP_ref25,.(((((((((((((...(((((((....))))))).............((((........((((((((((....)))))(((((....)))))((...(((.............((((((((((((............(((((........))))).......))))))))))..)).........))).)))))))))))...((((.....(((((.....(.......)..))))).....))))............))))))..................)).))))).
RNaseP_ref26,.(((((((((((((...(((((((....))))))).............((((........((((((((((....)))))(((((....)))))((...(((.............((((((((((((............(((((........))))).......))))))))))..)).........))).)))))))))))...((((.....(((((.....(.......)..))))).....))))............))))))..................)).))))).
RNaseP_ref27,.....(((.(((((((((........((((((((((.....)))))(((((....)))).)((...(((((...........(((((...((((....)))).)))..)).......((((((.......))))))(((((((((....))).))))).)..)))..)))))))))))))...((((......((((((...(((((.....))))))))))).....))))......((((((((....))))))))...........................)))))))).
RNaseP_ref28,.....(((.(((((((((........(((.((((((.....)))))(((((....)))).)((...(((((.............(((((((.....)))))..)).......((((((.......)).))))(((((((((....))))))).)).)))..))))))))...))))...(((........(((.((((....((((.....)))).)))).)))......)))......((((((((....))))))))..........................)))))))).
RNaseP_ref29,..((((((((((((...(((((((....))))))).............((((........((((((((((....)))))(((((....)))))((...(((.............((((((((((((............(((((.........))))).......))))))))))..)).........))).)))))))))))...((((.....(((((.....(.......)..))))).....))))............))))))..................)).))))..
RNaseP_ref30,(((((((........(((((..........(((((....)))))..........))))).....................((((((.............................................(((((....)))))((((((....)))))).........(((((((............(((((((((.....))))))).)).......)))))))...))))))...((((((((...))))).))).............)))))))(((((...)))).)..
RNaseP_ref31,(((((((.......(((((..........(......(((.............))).......).......))))).....................((((((.....................................(((((....)))))((((((....)))))).......(((((((............((((.......))))........)))))))...))))))...((((((((((..........))))))).))).............)))))))(...)..
RNaseP_ref32,.....(((.(((((((((........(((.((((((.....)))))(((((....)))).)((...(((((.............((((((((....))))))..)).......((((((.......)).))))(((((((((....))))))).)).)))..))))))))...))))...((((.......((((((((....((((.....)))).))))))))....).)))......((((((((....))))))))............................)))))))).
RNaseP_ref33,.........(((((((((........((((((((((.....)))))(((((......)))).)((...((((.............(((((..((((((.....))).))))))..)).......((((((.......))))))(((((((((....))).))))).)...))..)))))))))))))...((((......((((.(....(((((.....)))))).)))).....))))......((((((((....))))))))...........................)))))
RNaseP_ref34,.......(((...((((.....((((.........(((((.....))))).........))))...................((((......(.(((.....))).)((((.....))))(((((((..............(((........................................................................))).......)))))))))))...................))))((((((.....))))))...................)))
RNaseP_ref35,.....(((.(((((((((........((((((((((.....)))))((((....))).)((...((((.............(((((..((((((((....))))).))))))..)).......((((((.......))))))(((((((((....))).))))).)...))..)))))))))))))...((((......((((.(....(((((.....)))))).)))).....))))......((((((((....))))))))...........................)))))))).
RNaseP_ref36,.(((((((((((((...((((((((((((((.....))))))))..)))))).............((((........((((((((((...)))))(((((....)))))((...(((.............((((((((((((............((.....)).......))))))))))..)).........))).)))))))))))...((((.....(((((.....(.......)..))))).....))))............))))))...................)).))))).
RNaseP_ref37,.(((((((((((((...((((((((((((((.....))))))))..)))))).............((((........((((((((((....)))))(((((....)))))((...(((.............((((((((((((............((....)).......))))))))))..)).........))).)))))))))))...((((.....(((((.....(.......)..))))).....))))............))))))...................)).))))).
RNaseP_ref38,.......(((...((((.....((((.........(((((.....))))).........))))...................((((......(.(((.....))).)(((((((...)))))))(((((((..............(((........................................................................))).......)))))))))))...................))))((((((.....))))))...................)))
RNaseP_ref39,.(((((((((((((.(((((...(((....))).............(((.......((.((((((((....)))))(((((.....)))))((...((((............(((((((((((...............((.....((((((((....))))))))....)).......)))))))))))........)))).))))).)).)))...((.((((((...............))))))....))............))))).....................)))))))))))))
RNaseP_ref40,.......(((.((((((((((.........(((.(((((((.....)))))(((((....)))).)((...(((((...........(((((.....................)))..)).......((((((.......))))))(((((((((....))))))).)).)))..))))))))))))))...(((...(((((...(((.........))).)))))...........)))......((((((((.....)))))))).............................))))))))
RNaseP_ref41,...(((((..((((((((((((...((((.....)))).............((((........(((((((((((....))))))(((((....)))))((...((((............((((((((((.........(((((...))))).......)))))))..))).......)))).)))))))))))...((((.....(((((..(.(........).)))))).....))))............)))))).((((...)))).................)).))))..)))))....
RNaseP_ref42,...(((((..((((((((((((...((((....)))).............((((........(((((((((((....))))))(((((....)))))((...((((............((((((((((...........(((...))).........)))))))..))).......)))).)))))))))))...((((.....(((((..(((........)))))))).....))))............)))))).((((....)))).................)).))))..)))))....
RNaseP_ref43,(.....((...((((.(...((((.........(((((.......))))).....)))).).................((((......(((((.....)))))((((((....))))))(((((((...........(.(....................................................................).).......))))))))))).......................))))(((((((......)))))))....................)).....)...
RNaseP_ref44,.(((((((((((((...((((((((((((((.....))))))))..)))))).............((((........(((((((((....))))(((((....)))))((...(((.............((((((((((((............(((((........))))).......))))))))))..)).........))).)))))))))))...((((.....(((((.....(.......)..))))).....))))............)))))).................)).))))).
RNaseP_ref45,(((.....((...((((.(...((((.........(((((.....))))).........)))).).................((((......(.(((.....))).)((((.....))))(((((((............(..............................................................................).......)))))))))))...................))))((((((.....))))))....................)).....))).
RNaseP_ref46,....(.....((...((((.(...((((.........(((((.......))))).........)))).).................((.(......(((((.....)))))(((((((...)))))))(((((((..........................................................................................)))))))).)).....................))))((((((.......))))))....................)).....)...
RNaseP_ref47,.(.(((.(((.....(((((...(((((....))))).............((((........((((((((((....)))))(((((.....)))))((...((((...........(((((((((((...........((...((((((((((....))))))))))..))...........)))))))))))........)))).)))))))))))...((...((((((....(........)..)))))).....))............)))))........................))).))).).
RNaseP_ref48,(((.....((...((((.(...((((.........(((((.....))))).........)))).).................((((......(.(((.....))).)(((((((...)))))))(((((((............(..............................................................................).......)))))))))))...................))))((((((.....))))))....................)).....))).
RNaseP_ref49,(((((((((((.((((((.((((((...)))))).............((((......((((((((((.....)))))(((((....)))).)((...((..............((((((((...........)))))))).......((((...))))((((((((......))))))))......)))))))))))))...((((....))))......(((((............)))))..........)))))).(.(((((((((....))))))))).)...............).))))))))))
RNaseP_ref50,.....(((.((((((((((.........(((.(((((((.....)))))(((((....)))).)((...(((((...........(((((..(((((((....))))).)))))..)).......((((((.......))))))(((((((((....))))))).)).)))..))))))))))))))...(((....(((((..(((.........)))))))).........)))......((((((((....)))))))).................(((((((...))))))).......)))))))).
RNaseP_ref51,(((((((((((.(((((((..(((((..........(((((((((......)))))).)))........)))))....................((((((........(((((....))))).((.(((((....))))).)).((..(((............((((((...))))))......)))..)).))))))...(((((((((((.((...)).)))))))).))).............)))))))((((((((((((((....)))))).)))))))).................)))))))))))
RNaseP_ref52,.(((((((((((((((((((...(((((...))))).............((((........(((((((((......))))(((((....)))))((...((((............(((((((((((...............((..((((((((((((....)))))))))))))).......)))))))))))........)))).)))))))))))...((.(((((((.....(........)..)))))))....))............)))))).....................)))))))))))))...
RNaseP_ref53,.((((((((((((((((.(((((....))))).............((((........((((((((((.....)))))(((((....)))).)((...(((((............((((((....))))..)).......((((((.......))))))(((((((((....)))))))).)...)))..)))))))))))))...((((.......(((.......))).......))))......((((((((....))))))))..........)))))))....................)))))))))....
RNaseP_ref54,......((...((((.....((((.........(((((.......))))).....))))...................((((.....(((((.....)))))(((((((...)))))))(((((((.............(((....................................................................................)))........))))))))))).......................))))(((((((......)))))))...................)).
RNaseP_ref55,.((((((((((((((((.(((((....))))).............((((........((((((((((.....)))))(((((....)))).)((...(((((............(((((((...)))))..)).......((((((.......))))))(((((((((....)))))))).)...)))..)))))))))))))...((((.......(((.......))).......))))......((((((((....))))))))..........)))))))....................)))))))))....
RNaseP_ref56,.((((((((((((((((.(((((....))))).............((((........((((((((((.....)))))(((((....)))).)((...(((((............(((((((...)))))..)).......((((((.......))))))(((((((((....)))))))).)...)))..)))))))))))))...((((.......(((.......))).......))))......((((((((....))))))))..........)))))))....................)))))))))....
RNaseP_ref57,(((((((((((((((((.(((.......)).).............((((.........((((((((((.....)))))(((((....)))).)((...(((((............((.((((....))))...)).......((.(((.......))).))(((((..(((....)))..))).)).)))..)))))))))))))...((((((.(((.(((.....)))..))).))))))......((((((((....))))))))..........)))))))...................).)))))))))...
RNaseP_ref58,......((...(((......((((.........(((((.......))))).........))))...................((((......(((((.....)))))(((((((...)))))))(((((((.............(((....................................................................................)))........))))))))))).......................)))(((((((....)))))))...................)).
RNaseP_ref59,(.....((...((((.(...((((.........(((((.......)))))..........)))).).................((((......(((((.....)))))(((((((...)))))))(((((((...................................................................................................))))))))))).....................))))(((((((........)))))))....................)).....)...
RNaseP_ref60,................((((.((..(((((........(((((........))))).........))))).)).................((((......(((((.....)))))(((((((.....)))))))(((((((...........((.....................................................................................)).......)))))))))))....................))))(((((((..(((...))).)))))))...........
RNaseP_ref61,................((((.((..(((((........(((((........))))).........))))).)).................((((......(((((.....)))))(((((((.....)))))))(((((((...........((.....................................................................................)).......)))))))))))....................))))(((((((..(((...))).)))))))...........
RNaseP_ref62,................((((.((..(((((........(((((........))))).........))))).)).................((((......(((((.....)))))(((((((.....)))))))(((((((...........((.....................................................................................)).......)))))))))))....................))))(((((((..(((...))).)))))))...........
RNaseP_ref63,........(((.((((((((((..........((.(((((((.....)))))(((((....)))).)((...(((((...........(((((((....)))))..)).......((((.((.......))))))(((((((((....))))))).)).)))..)))))))).)))))...((......(((((..((...........))))))).............))......(((((.((....)).))))).................(((((.((..(((...)))..)).))))).......))))))))..
RNaseP_ref64,.((((((((((((((((.(((((....))))).............((((........((((((((((.....)))))(((((....)))).)((...(((((............(((((((...)))))..)).......((((((.......))))))(((((((((....)))))))).)...)))..)))))))))))))...((((.......(((.......))).......))))......((((((((....))))))))..........)))))))....................)))))))))..........
RNaseP_ref65,(.....((...((((.(...((((.........(((((.......))))).....)))).).................((((.....(((((.....)))))(((((((...)))))))(((((((...........(...........................................................................................).......))))))))))).......................))))(((((((......)))))))....................)).....)...
RNaseP_ref66,(.....((...((((.(...((((.........(((((.......))))).....)))).).................((((.....(((((.....)))))(((((((...)))))))(((((((...............................................................................................................))))))))))).......................))))(((((((......)))))))....................)).....)...
RNaseP_ref67,(.....((...(((..(...((((.........(((((.......))))).........)))).).................((((......(((((.....)))))(((((((...)))))))(((((((...........((.........................................................................................)).......))))))))))).......................)))(((((((....)))))))....................)).....)..
RNaseP_ref68,.(((((((((((((((((((...(((((...))))).............((((.........((((((((((....)))))(((((....)))))((...((((............((((((((((((.............((((....((((((((....))))))))........))))......))))))))))..))........)))).)))))))))))...((((......(((((.....(.........)..)))))......))))............)))))).....................))))))))))))).
RNaseP_ref69,.....(((.(((((((((........((((((((((.....)))))(((((((((((((...........))))))...)))))).)((...(((((...........((((((((((.((((.......)))).))))))))..)).......((.(((.......))).))(((((.(((....))).)))).)..)))..)))))))))))))...((((......((((((((((.....))))...)))))).....))))......((((.(((....))).))))...........................))))))))..
RNaseP_ref70,(((((((((((((((((((...(((((((((.....))))))))).............((((........((((((((((....)))))((((((...))))))((...((((............((.((((((((............((((.....((((((((....)))))))).......)))).......))))))))...))........)))).)))))))))))...(((((((((((..(..(.......)..))))))))))....))............)))))).....................)))))))))))))
RNaseP_ref71,.(((((((((((((((((((...((((......)))).............((((.........((((((((((....)))))(((((....)))))((...((((............((((((((((((.............((((....((((((((....))))))))........))))......))))))))))..))........)))).)))))))))))...((((......(((((.....(.........)..)))))......))))............)))))).....................))))))))))))).
RNaseP_ref72,(.....((...(((..((..((((.........(((((.......))))).........)))))).................((((......(((((.....)))))(((((((...)))))))(((((((...........((............................................................................................)).......)))))))))))......................)))(((((((....)))))))....................)).....)...
RNaseP_ref73,.(((((((((((((((((((...(((((....))))).............((((.........((((((((((....)))))(((((....)))))((...((((............((((((((((((.............((((....((((((((....))))))))........))))......))))))))))..))........)))).)))))))))))...((((......(((((.....(.........)..)))))......))))............)))))).....................))))))))))))).
RNaseP_ref74,.....((((((((((((((((((.((((((....)))))).............((((........((((((((((.....)))))(((((....)))).)((...(((((...........((((()))..)).......((((((.......))))))(((((((((....))))))).)).)))..)))))))))))))...((((......((((((...(((((.....))))))))))).....))))......((((((((....))))))))..........)))))))...................).))))))))))....
RNaseP_ref75,(.....((...(((..((..((((..........(((((.....)))))........)))))).................((((.......(((((.....)))))(((((((...))))))).(((((((...........((..........................................................................................)).......))))))))))).......................)))((((((........))))))....................)).....)...
RNaseP_ref76,.(((((((((((((((((((...(((((.....))))).............((((.........((((((((((....)))))(((((....)))))((...((((............((((((((((((.............((((....((((((((....))))))))........))))......))))))))))..))........)))).)))))))))))...((((......(((((.....(.........)..)))))......))))............)))))).....................))))))))))))).
RNaseP_ref77,.(((((((((((((((((((...((((......)))).............((((.........((((((((((....)))))(((((....)))))((...((((............((((((((((((.............((((....((((((((....))))))))........))))......))))))))))..))........)))).)))))))))))...((((......(((((.....(.........)..)))))......))))............))))))......................))))))))))))).
RNaseP_ref78,.(((((((((((((.(((((...(((((.....))))).............((((.........((((((((((....)))))(((((....)))))((...((((............((((((((((((.............((((....((((((((....))))))))........))))......))))))))))..))........)))).)))))))))))...((((......(((((.....(.........)..)))))......))))............)))))......................))))))))))))).
RNaseP_ref79,............(((((((...(((((..........(((((((((.....)))))).)))........))))).....................((((((......................................................((((....))))..((.(((((....))))).))...(.((((............(((((......)))))......)))).)..))))))...(((((...((.(((....))).))...))))).............)))))))(((((((((((((...))))))))).))))..
RNaseP_ref80,.....(((.(((.(((((........((((((((((.....)))))(((((....)))).)((...(((((............((((((((....))))))..)).......(((.((.......)).)))(((((((((....))).))))).)..)))..)))))))))))))...((((......((((((.(((((((((.(((((((((.....))))))).)).))))))))).(..((......))..).)))))).....))))......((((((((....))))))))...........................).)))))).
RNaseP_ref81,.....(((.(((((((((........((((((((((.....)))))((((((((((((((((....))))))))))))))).)((...((((.............(((((.(((((((....))))))).)))..)).......((.(((.......))).))(((((((((....)))))))).)...))..)))))))))))))...((((.........(.((..((((.......)))))).).......)))).......((((((..........)))))).................(.(((((...))))).)......)))))))).
RNaseP_ref82,.....(((.(((((((((........((((((((((.....)))))((((((((((((((((....))))))))))))))).)((...((((.............(((((.(((((((....))))))).)))..)).......((.(((.......))).))(((((((((....)))))))).)...))..)))))))))))))...((((.........(.((..((((.......)))))).).......)))).......((((((..........)))))).................(.(((((...))))).)......)))))))).
RNaseP_ref83,.(((((((.((((..((((((.....(((((...........((.(..((((....))))..).))...........)))))......................((((((..............................(((((....)))))(((((((.....))))))).....(((((((............((((((....)))))).......)))))))..))))))....(((((((((..((....)))))))).)))..............))))))((((((....))))))..................)))).)))))))..
RNaseP_ref84,((((((((((((((((((.((((((((((....))))).))))).............((((......((((((((((.....)))))(((((....)))))((...(((((.............((((((.....))))..)).......((((((.......))))))(((((((((....))))))).)).)))..)))))))))))))...((((.....(((((.((((........))))..))))).....))))......((((((((....))))))))..........)))))))...................)))))))))))....
RNaseP_ref85,((((((((((((((((((.((((((((((....))))).))))).............((((......((((((((((.....)))))(((((....)))))((...(((((.............((((((.....))))..)).......((((((.......))))))(((((((((....))))))).)).)))..)))))))))))))...((((.....(((((.((((........))))..))))).....))))......((((((((....))))))))..........)))))))...................)))))))))))....
RNaseP_ref86,((((((((((((((((((.(((((((((......)))).))))).............((((......((((((((((.....)))))(((((....)))))((...(((((.............((((((.....))))..)).......((((((.......))))))(((((((((....))))))).)).)))..)))))))))))))...((((.....(((((.((((........))))..))))).....))))......((((((((....))))))))..........)))))))...................)))))))))))....
RNaseP_ref87,.((((((((((.((..(((((((......(((((.........((((((......)))))).......))))).........................((((((.............((((....))))((((.((....)).))))........((((((.............(((((((((...)))))))))........)))))).....................)))))).......((((((((((.....))))))).))).............)))))))(..((((....))))..).................)).))))))))))..
RNaseP_ref88,.....((((((((.(((((((((.((((((....)))))).............((((........((((((((((.....)))))(((((....)))).)((...(((((...........(((((((....)))))..)).......((.(((.......))).))(((((((((....))))))).)).)))..)))))))))))))...((((.......(....(.((((((.....)))))))....).....))))......((((((((....))))))))..........)))))))...................).).))))))))....
