ID,Structure
srp_ref0,((((....(((....)))....))))..
srp_ref1,....((((....(((....)))....))))
srp_ref2,....((((....(((....)))....))))
srp_ref3,....((((....(((....)))....))))
srp_ref4,.((((....(((....)))....))))....
srp_ref5,......((((....(((....)))....))))
srp_ref6,....((((....(((....)))....))))..
srp_ref7,....((((....(((....)))....))))...
srp_ref8,....((((....(((....)))....))))...
srp_ref9,....((((....(((....)))....))))...
srp_ref10,....(((.....(((....))).....)))...
srp_ref11,....((((....(((....)))....))))...
srp_ref12,.......((((....(((....)))....))))
srp_ref13,....((((....(((....)))....))))...
srp_ref14,.....((((....(((....)))....))))....
srp_ref15,.....((((....(((....)))....)))).....
srp_ref16,(.....((((....(((....)))....))))...)
srp_ref17,(.....((((....(((....)))....))))...)
srp_ref18,(.....((((....(((....)))....))))...)
srp_ref19,(.....((((....(((....)))....))))..).
srp_ref20,((.....((((....(((....)))....))))...))
srp_ref21,((......((((....(((....)))....))))...))
srp_ref22,(((......((((....(((....)))....))))...)))
srp_ref23,(((......((((....(((....)))....))))...)))
srp_ref24,(((......((((....(((....)))....))))...)))
srp_ref25,(((......((((....(((....)))....))))...)))
srp_ref26,.(((......((((....(((....)))....))))...)))
srp_ref27,(((((.....(((.....(((....))).....)))..)))))....
srp_ref28,.(((((.....((((....(((....)))....))))...))).)).....
srp_ref29,(.....(((.....(((....))).....)))..).................
srp_ref30,(.....(((.....(((....))).....)))..).................
srp_ref31,((.(((((.....((((....(((....)))....))))...)))))...)).
srp_ref32,((.....(((.....(((....))).....)))..))................
srp_ref33,(.....(((.....(((....))).....)))..)..................
srp_ref34,((.....(((.....(((....))).....)))..))................
srp_ref35,((.....((((....(((....)))....))))..)).................
srp_ref36,...........(..((.....((((....(((....)))....))))...))..)
srp_ref37,..............................((((....(((....)))....))))
srp_ref38,...............(((.....((((....(((....)))....))))...)))..
srp_ref39,..........................................................
srp_ref40,..........................................................
srp_ref41,..........................................................
srp_ref42,(((......((((....(((....)))....))))...))).................
srp_ref43,(.....(((.....(((....))).....)))...).......................
srp_ref44,.............(.(((.....((((....(((....)))....))))...))).)..
srp_ref45,.................((((......((((....(((....)))....))))...))))..
srp_ref46,.....(((.....(((....))).....))).................................
srp_ref47,((....(.(((....(((......)))....))).)..))........................
srp_ref48,..(.(((....(((......)))....))).)................................
srp_ref49,.....(((.....(((....))).....))).................................
srp_ref50,........(((((((.(.(...).).))))....(((((...........)))))))).......
srp_ref51,(((((((..(......)..))))....((((..)))))))..........................
srp_ref52,(((.((((..(..)..))))....((((..)))).)))............................
srp_ref53,(((((((.(((((...(.(((....(((....)))....))).).))))).))))))).........
srp_ref54,........(((((((.(.(...).).))))....(((((...........)))))))).........
srp_ref55,((......(((....(((......)))....)))....))...........................
srp_ref56,((......(((....(((......)))....)))....))...........................
srp_ref57,((((((.(((((((((((.....((((....(((....)))....))))...))).)).))))))))..))))
srp_ref58,((((((.(((((((((((.....((((....(((....)))....))))...))).)).))))))))..))))
srp_ref59,.(((((.((((.(..(((.....((((....(((....)))....))))...)))..)....))))))..)))
srp_ref60,.(((((.((((.(..(((.....((((....(((....)))....))))...)))..)....))))))..)))
srp_ref61,.(((((.((((.(..(((.....((((....(((....)))....))))...)))..)....))))))..)))
srp_ref62,.(((((.((((.(..(((.....((((....(((....)))....))))...)))..)....))))))..)))
srp_ref63,((((((.((((.((.(((.....((((....(((....)))....))))...))).))...))))))..))))
srp_ref64,((((((((.....((((....(((....)))....))))...))).)).)))......................
srp_ref65,((((.....((((....(((....)))....))))..)))).................................
srp_ref66,(((((.((((((((..((.....((((....(((....)))....))))...))..).)))))))))..)))....
srp_ref67,((((((.((((((.(.(((.....((((....(((....)))....))))...))).).))))))))..))))....
srp_ref68,.((((((((.(((((...(((.....(((....(((....)))....)))....)))....)))))))..)))))).
srp_ref69,.((((((((.(((((...(((.....(((....(((....)))....)))....)))....)))))))..)))))).
srp_ref70,((((((.(((((..((((.....((((....(((....)))....))))...))))....)))))))..))))....
srp_ref71,((((((.(((((..((((.....((((....(((....)))....))))...))))....)))))))..))))....
srp_ref72,((((((.(((((..((((.....((((....(((....)))....))))...))))....)))))))..))))....
srp_ref73,((((((.(((((...(((.....((((....(((....)))....))))...))).....)))))))..))))....
srp_ref74,((((((.(((((...(((.....((((....(((....)))....))))...))).....)))))))..))))....
srp_ref75,((((((.(((((...(((.....((((....(((....)))....))))...))).....)))))))..))))....
srp_ref76,((((((.((((((.((((.....((((....(((....)))....))))...))).)..))))))))..))))....
srp_ref77,...((..)).(((((......(((....(((......)))....)))....)))))......................
srp_ref78,...((..)).(((((......(((....(((......)))....)))....)))))......................
