Motif,Target,Constr,Result,Time (Sec.),N_Rival,Rivals
(..(...((*)).)),(..(...((...)).)),(???????(...)???),undesignable,1.9152,1,['(......((*))..)']
(.(*)(.(*)(*))..),(.(...)(.(...)(...))..),(?(...)??(...)(...)???),undesignable,0.0016,1,['(.(*)..(*)(*)...)']
(..(...).....),(..(...).....),(????????????),undesignable,0.1823,1,['(............)']
(.(*)((*)(*)..).),(.(...)((...)(...)..).),(?(...)?(...)(...)????),undesignable,0.0019,1,['(.(*).(*)(*)....)']
(((*)..)(.(*)).),(((...)..)(.(...)).),(?(...)?????(...)??),undesignable,0.1867,1,['(.(*).....(*)..)']
(((..(*))(*))(*)),(((..(...))(...))(...)),(????(...)?(...)?(...)),undesignable,0.0743,1,['(....(*).(*).(*))']
(...(.(*).(*)).),(...(.(...).(...)).),(?????(...)?(...)??),undesignable,0.0202,1,['(.....(*).(*)..)']
(.((*).(*))(*).),(.((...).(...))(...).),(??(...)?(...)?(...)?),undesignable,0.0024,1,['(..(*).(*).(*).)']
(..(((*).)...)),(..(((...).)...)),(????(...)??????),undesignable,0.0075,1,['(....(*)......)']
(((((*)(*))(*)))),(((((...)(...))(...)))),(???(...)(...)?(...)??),undesignable,0.619,1,['(((.(*)(*).(*))))']
((..(*))..),((..(...))..),(???(...)???),undesignable,0.0017,1,['(...(*)...)']
(..((*)(*).(*))),(..((...)(...).(...))),(???(...)(...)?(...)?),undesignable,0.0024,1,['(...(*)(*).(*).)']
((...(*).)..),((...(...).)..),(????(...)????),undesignable,0.0188,1,['(....(*)....)']
(..((*)((*)).)),(..((...)((...)).)),(???(...)?(...)???),undesignable,0.3756,1,['(...(*)((*))..)']
(...(*)(..(*)).),(...(...)(..(...)).),(???(...)???(...)??),undesignable,0.0019,1,['(...(*)...(*)..)']
((....((*)))(*)),((....((...)))(...)),(??????(...)??(...)),undesignable,0.01,1,['(.....((*)).(*))']
(((...)..)...),(((...)..)...),(????????????),undesignable,0.0172,1,['(............)']
((((..(*)).).)),((((..(...)).).)),(?????(...)?????),undesignable,0.065,1,['(((...(*)..).))']
(.((....)..).),(.((....)..).),(????????????),undesignable,0.3573,1,['(.(........).)']
(.((*)((*)..).)),(.((...)((...)..).)),(??(...)?(...)?????),undesignable,0.1844,1,['(..(*).(*).....)']
(((*).(*)..).(*)),(((...).(...)..).(...)),(?(...)?(...)????(...)),undesignable,0.0018,1,['(.(*).(*)....(*))']
(((*)(..(*)(*)))),(((...)(..(...)(...)))),(?(...)???(...)(...)??),undesignable,0.013,1,['(.(*)...(*)(*)..)']
(.(*)...(..(*))),(.(...)...(..(...))),(?(...)??????(...)?),undesignable,0.0016,1,['(.(*)......(*).)']
((*)(*)(..(*))..),((...)(...)(..(...))..),((...)(...)???(...)???),undesignable,0.0018,1,['((*)(*)...(*)...)']
((*)(.(....)).),((...)(.(....)).),((...)??????????),undesignable,0.523,3,"['((*)..........)', '((*)..(....)..)', '((*)(((...))).)']"
(((*)..)..(*)(*)),(((...)..)..(...)(...)),(?(...)?????(...)(...)),undesignable,0.0016,1,['(.(*).....(*)(*))']
(..(.(*)....)),(..(.(...)....)),(????(...)?????),undesignable,0.0194,1,['(....(*).....)']
(.(*)(*)((*)(*).)),(.(...)(...)((...)(...).)),(?(...)(...)?(...)(...)??),undesignable,0.0027,1,['(.(*)(*).(*)(*)..)']
(((*).)((*)..)),(((...).)((...)..)),(?(...)???(...)???),undesignable,0.0455,1,['(.(*)...(*)...)']
((....).((*))),((....).((...))),(????????(...)?),undesignable,2.3632,1,['(.......((*)))']
(.((..(*)).).),(.((..(...)).).),(?????(...)????),undesignable,0.0442,1,['(.(...(*)..).)']
(.(((*)(*).)..)),(.(((...)(...).)..)),(???(...)(...)?????),undesignable,0.0082,1,['(...(*)(*).....)']
(((*)(*))(....)),(((...)(...))(....)),(?(...)(...)???????),undesignable,0.7443,1,['(.(*)(*).......)']
(((*)((*)...).)),(((...)((...)...).)),(?(...)?(...)??????),undesignable,0.2727,1,['(((*).(*).....))']
(..(*)(.(*)(*)).),(..(...)(.(...)(...)).),(??(...)??(...)(...)??),undesignable,0.0021,1,['(..(*)..(*)(*)..)']
(......(...)),(......(...)),(???????????),undesignable,0.0032,1,['(...........)']
(((*)(....))),(((...)(....))),(?(...)???????),undesignable,0.6012,1,['(((*)......))']
((..(*)((*)))(*)),((..(...)((...)))(...)),(???(...)?(...)??(...)),undesignable,0.0721,1,['(...(*).(*)..(*))']
(.((*)((*).))),(.((...)((...).))),(??(...)?(...)???),undesignable,0.4908,5,"['(..(*).(*)...)', '(.((*)((*)).))', '(..(*)((*).).)', '((((*))(*)..))', '((((*).(*).)))']"
(.(...)(*)(*)(*)),(.(...)(...)(...)(...)),(??????(...)(...)(...)),undesignable,0.0073,1,['(......(*)(*)(*))']
((*).(..((*))).),((...).(..((...))).),((...)?????(...)???),undesignable,0.0117,1,['((*)....((*))..)']
((*)((*).(*))..),((...)((...).(...))..),((...)?(...)?(...)???),undesignable,0.0024,1,['((*).(*).(*)...)']
((*)((*)....)(*)),((...)((...)....)(...)),((...)?(...)?????(...)),undesignable,0.0025,1,['((*).(*).....(*))']
(((.(*)).)..(*)),(((.(...)).)..(...)),(???(...)?????(...)),undesignable,0.1236,4,"['(...(*).....(*))', '((..(*)..)..(*))', '(.(((*).))..(*))', '(((.(*)))...(*))']"
(((*)(.(*).(*)))),(((...)(.(...).(...)))),(?(...)??(...)?(...)??),undesignable,0.0123,1,['(.(*)..(*).(*)..)']
((.((*)..))...),((.((...)..))...),(???(...)???????),undesignable,0.0074,1,['(...(*).......)']
((...)..(*)..),((...)..(...)..),(???????(...)??),undesignable,1.1569,1,['(.......(*)..)']
(.(...)..(*)),(.(...)..(...)),(????????(...)),undesignable,0.2931,1,['(........(*))']
((*)((*).)(...)),((...)((...).)(...)),((...)?(...)???????),undesignable,0.7407,1,['((*).(*).......)']
(.(.(*))((*)(*))),(.(.(...))((...)(...))),(???(...)??(...)(...)?),undesignable,0.2839,1,['(...(*)..(*)(*).)']
((.(.(*))...).),((.(.(...))...).),(????(...)??????),undesignable,1.5247,1,['((...(*)....).)']
((.(*)((*)(*)).)),((.(...)((...)(...)).)),(??(...)?(...)(...)???),undesignable,0.2955,1,['(..(*).(*)(*)...)']
(.(*)(*)((*)(*))),(.(...)(...)((...)(...))),(?(...)(...)?(...)(...)?),undesignable,0.0038,1,['(.(*)(*).(*)(*).)']
((...)((*).)),((...)((...).)),(??????(...)??),undesignable,0.11,1,['(......(*)..)']
((...).(*)..(*)),((...).(...)..(...)),(??????(...)??(...)),undesignable,0.0039,1,['(......(*)..(*))']
(.(..(*))(*).(*)),(.(..(...))(...).(...)),(????(...)?(...)?(...)),undesignable,0.0019,1,['(....(*).(*).(*))']
((*)((.(*))..)),((...)((.(...))..)),((...)???(...)????),undesignable,0.0121,1,['((*)...(*)....)']
((..((...).))),((..((...).))),(????????????),undesignable,0.0701,1,['((..........))']
((.((*))(*).)(*)),((.((...))(...).)(...)),(???(...)?(...)??(...)),undesignable,0.2775,1,['(...(*).(*)..(*))']
((...).(*)..),((...).(...)..),(??????(...)??),undesignable,0.2844,1,['(......(*)..)']
(.(..(...)).),(.(..(...)).),(???????????),undesignable,0.0704,1,['(...........)']
(..((*)(((*))))),(..((...)(((...))))),(???(...)??(...)???),undesignable,0.7185,1,['(...(*)(((*))).)']
(..(...).(*)..),(..(...).(...)..),(????????(...)??),undesignable,4.786,1,['(........(*)..)']
(((*).((*)).)..),(((...).((...)).)..),(?(...)??(...)?????),undesignable,0.7769,1,['(.(*).((*))....)']
(.(...(*))(*).),(.(...(...))(...).),(?????(...)?(...)?),undesignable,0.0025,1,['(.....(*).(*).)']
((((*))).(...)),((((...))).(...)),(??(...)????????),undesignable,1.4199,1,['((((*)))......)']
(.(((*)(*))(*).)),(.(((...)(...))(...).)),(???(...)(...)?(...)??),undesignable,0.2985,1,['(...(*)(*).(*)..)']
(.(*).((*)..)..),(.(...).((...)..)..),(?(...)??(...)?????),undesignable,0.0013,1,['(.(*)..(*).....)']
((*)(*)((*)((*)))),((...)(...)((...)((...)))),((...)(...)?(...)?(...)??),undesignable,0.0211,1,['((*)(*).(*).(*)..)']
(.(..(*))(*)...),(.(..(...))(...)...),(????(...)?(...)???),undesignable,0.0017,1,['(....(*).(*)...)']
((*)(..(*)(*)..)),((...)(..(...)(...)..)),((...)???(...)(...)???),undesignable,0.0019,1,['((*)...(*)(*)...)']
((*)((*)....)),((...)((...)....)),((...)?(...)?????),undesignable,0.0023,1,['((*).(*).....)']
(..(...((*)))),(..(...((...)))),(???????(...)??),undesignable,0.0877,1,['(......((*)).)']
(.(.(*)(*))...),(.(.(...)(...))...),(???(...)(...)????),undesignable,0.0217,1,['(...(*)(*)....)']
(((*)(*)).(*)),(((...)(...)).(...)),(?(...)(...)??(...)),undesignable,0.0024,1,['(.(*)(*)..(*))']
((*)(*)(...)(*).),((...)(...)(...)(...).),((...)(...)?????(...)?),undesignable,0.0062,1,['((*)(*).....(*).)']
((...)...(*)),((...)...(...)),(????????(...)),undesignable,0.075,1,['(........(*))']
(.((*)(*)(*)).(*)),(.((...)(...)(...)).(...)),(??(...)(...)(...)??(...)),undesignable,0.002,1,['(..(*)(*)(*)..(*))']
(...(((*)...))),(...(((...)...))),(?????(...)?????),undesignable,0.0079,1,['(.....(*).....)']
(.((*)(*)..)...),(.((...)(...)..)...),(??(...)(...)??????),undesignable,0.0202,1,['(..(*)(*)......)']
((.(.(*))).),((.(.(...))).),(????(...)???),undesignable,0.996,16,"['(....(*)...)', '((.(.(*)).))', '(..(.(*))..)', '((.(((*)))))', '((.(.(*).)))', '(..(((*).)))', '(...((*))..)', '((..((*)).))', '((...(*)..))', '(.((((*)))))', '(.((.(*).)))', '(.(.((*)).))', '(.(..(*)..))', '(..(((*))).)', '(..(.(*).).)', '(.((.(*))).)']"
(.(.(...).(*))),(.(.(...).(...))),(?????????(...)?),undesignable,1.8286,1,['(.........(*).)']
((.(...)...).),((.(...)...).),(????????????),undesignable,1.1215,1,['(............)']
(.((..(*))(*)).),(.((..(...))(...)).),(?????(...)?(...)??),undesignable,0.2214,1,['(.(...(*).(*)).)']
((.(...(*)))(*)),((.(...(...)))(...)),(??????(...)??(...)),undesignable,0.0118,1,['(......(*)..(*))']
(((*)((*).(*))).),(((...)((...).(...))).),(?(...)?(...)?(...)???),undesignable,0.0731,1,['(.(*).(*).(*)...)']
((...((*).(*)))),((...((...).(...)))),(?????(...)?(...)??),undesignable,0.0149,1,['((....(*).(*).))']
(.(.(...)(*)).),(.(.(...)(...)).),(????????(...)??),undesignable,1.8127,1,['(........(*)..)']
((...)..((*))),((...)..((...))),(????????(...)?),undesignable,1.9042,1,['(.......((*)))']
(((*)..(*))..),(((...)..(...))..),(?(...)??(...)???),undesignable,0.0034,1,['(.(*)..(*)...)']
((*)(((*).).(*))),((...)(((...).).(...))),((...)??(...)???(...)?),undesignable,0.2852,1,['((*)..(*)...(*).)']
